cable_key,risk_score,max_lp_risk,landing_points,risk_tier
id-global-caribbean-network-gcn,42.476382651446116,38.41312501796746,6,9
id-junior,42.43217547874407,30.203182496939053,2,9
id-palapa-ring-middle,42.070347108354625,5.49553290551294,20,9
id-malbec,41.3180276612113,30.203182496939053,3,9
id-eastern-africa-submarine-system-eassy,40.960251922688556,13.383330846427096,9,9
id-europe-india-gateway-eig,40.12572796154908,11.202855108498106,12,9
id-echo,39.17772596066162,23.326122514654646,6,9
id-oran-valencia-orval,39.17126171939973,24.71324238479803,3,9
id-jakabare,38.93243059326539,23.326122514654646,4,9
id-korea-japan-cable-network-kjcn,38.6676021301072,17.1037903580802,3,9
id-southern-cross-cable-network-sccn,38.58960851105184,8.038643543501069,9,9
id-jupiter,38.571638780928126,29.119658763369795,5,9
id-fibralink,38.00781451161534,20.726851401530453,5,9
id-mednautilus-submarine-system,37.660803543966736,10.843857097577603,7,9
id-globenet,37.442152180975285,30.203182496939053,7,9
id-india-europe-xpress-iex,37.14349272999519,11.202855108498106,11,9
id-thailand-domestic-submarine-cable-network-tdscn,37.01964063723763,18.97598279034445,5,9
id-miyazaki-okinawa-cable-moc,36.0707673057241,26.82647654749933,2,9
id-smpcs-packet-1,35.828893900460734,10.907917934452183,12,9
id-eagle,35.81399787518601,35.7393586858152,3,9
id-italy-albania,35.7393586858152,35.7393586858152,2,9
id-mist,35.19352912804524,11.364969505366393,5,9
id-national-digital-transmission-network-ndtn,35.145742972570645,15.39015239782002,4,9
id-arimao,34.90071440871271,29.102930063476837,2,9
id-seabras-1,34.66991484122689,23.55506967695464,2,9
id-mainone,34.63782623948989,12.081840988883966,5,9
id-thailand-indonesia-singapore-tis,34.597951865291286,18.97598279034445,3,9
id-guam-okinawa-kyushu-incheon-goki,34.457169418813564,26.82647654749933,3,9
id-trans-pacific-express-tpe-cable-system,34.25048619534772,19.118751206724557,6,9
id-nzadi-cable-system,34.14393273951754,31.186430511861882,3,9
id-unityeac-pacific,33.77800869574449,28.671512158560994,2,9
id-bharat-lanka-cable-system,32.643628848196926,29.040481123993775,2,9
id-sorsogon-samar-submarine-fiber-optical-interconnection-project-sssfoip,32.626728481019576,18.62771693276784,2,9
id-manta,32.13894650741681,13.751910165244372,6,9
id-sint-maarten-puerto-rico-network-one-smpr-1,31.399341493863698,31.399341493863698,3,9
id-les-dhyres-cable,31.067840968269937,7.698897415733475,5,9
