,score,tier
id-south-america-1-sam-1,0.006650736932623715,8
id-deep-blue-one,0.006586139837747117,8
id-taihei,0.006524535401074575,8
id-america-movil-submarine-cable-system-1-amx-1,0.006460150709058001,8
id-taiwan-strait-express-1-tse-1,0.006385990280509188,8
id-chi,0.006381310611087954,8
id-asia-america-gateway-aag-cable-system,0.006343274603962565,8
id-poseidon,0.0063232471563080695,8
id-minamidaito-island,0.0063078484494342975,8
id-barat-timur-indonesia-1-bti-1,0.00624564504070031,8
id-asia-africa-europe-1-aae-1,0.0061923677570584704,8
id-eagle,0.006125226031876717,8
id-gondwana-1,0.00606827243709304,8
id-atlantic-crossing-1-ac-1,0.005970794538681648,8
id-okinawa-miyakojima-ishigaki,0.0059204064143950075,8
id-red2med,0.005910833271354139,8
id-raman,0.005907289887167116,8
id-transcan-3,0.00590568034994318,8
id-miyazaki-okinawa-cable-moc,0.005902629436100797,8
id-tam-1,0.005888586933590748,8
id-africa-1,0.005885734755009391,8
id-colombia-florida-subsea-fiber-cfx-1,0.005795631245124544,8
id-samoa-american-samoa-sas,0.005729183783014013,8
id-korea-japan-cable-network-kjcn,0.005717460586517286,8
id-tui-samoa,0.005687319799895927,8
id-tko-connect,0.005672547291086392,8
id-kupang-alor-cable-systems,0.005627576340590759,8
id-cabo-verde-telecom-domestic-submarine-cable-phase-1,0.005622464258183993,8
id-vietnam-singapore-cable-system-vts,0.005596673225891203,8
id-maldives-sri-lanka-cable-msc,0.005585142212943601,8
id-southern-cross-cable-network-sccn,0.005579745058272295,8
id-damai-cable-system,0.005494668604133088,8
id-seamewe-5,0.0054249887214948824,8
id-hawaiki,0.00540640510613753,8
id-mariana-guam-cable,0.005384334427049911,8
id-mainone,0.005381619834418497,8
id-yui,0.005354762183428051,8
id-globenet,0.005327835895455772,8
id-blue,0.0052930312259190015,8
id-southern-caribbean-fiber,0.005278177039101089,8
id-jakabare,0.005220190457740877,8
id-dumai-melaka-cable-system-dmcs,0.005193779633502128,8
id-2africa,0.005046246088344087,8
id-tikal-amx3,0.005022188551664415,8
id-medloop,0.004996664174046036,8
id-exelera-north,0.004989181027101917,8
id-norfest,0.004915440199302028,8
id-seacomtata-tgn-eurasia,0.004732670040641055,8
id-umoja,0.004721901756154053,8
id-tata-tgn-intra-asia-tgn-ia,0.004600999085398511,8
id-eclink,0.004598063481685581,8
id-manta,0.004574064560988393,8
id-coral-bridge,0.0044763392262575,8
id-taba-aqaba,0.0044763392262575,8
id-lynn-canal-fiber,0.0044161729631442565,8
id-n0r5ke-viking-2,0.004357317551989013,8
id-maya-1,0.004346306464178785,8
id-smpcs-packet-1,0.004323444400690656,7
id-tpu,0.004307467541639929,7
id-submarine-cable-in-the-philippines-scip,0.004282236102622537,7
id-sat-3wasc,0.004181173321566575,7
id-med-cable-network,0.004179007252814962,7
id-te-northtgn-eurasiaseacomalexandrosmedex,0.004167512274282826,7
id-palapa-ring-west,0.004164376406576111,7
id-india-europe-xpress-iex,0.004135383771067183,7
id-sirius-south,0.004112896111915399,7
id-sagres,0.004090338567836661,7
id-libreville-port-gentil-cable,0.004086951332783305,7
id-andromeda,0.004074512252566083,7
id-zayo-festoon,0.004071440518839209,7
id-firmina,0.0040656309703020685,7
id-gulf-bridge-international-cable-systemmiddle-east-north-africa-cable-system-gbicsmena,0.004056161926683641,7
id-southern-cross-next,0.004043226143507905,7
id-cam-ring,0.003890371584970401,7
id-nigeria-cameroon-submarine-cable-system-ncscs,0.0038832607936527142,7
id-exa-north-and-south,0.0038714799420912537,7
id-gondwana-2picot-2,0.0037673466587366247,7
id-indigo-central,0.0037072206626527207,7
id-acs-alaska-oregon-network-akorn,0.0036817563423934435,7
id-emc-west-2,0.0036529047870808083,7
id-aden-djibouti,0.003610360153892899,7
id-dunant,0.0036036577526171077,7
id-americas-i-north,0.003599910173409138,7
id-thailand-domestic-submarine-cable-network-tdscn,0.003586145026702947,7
id-cabo-verde-telecom-domestic-submarine-cable-phase-3,0.0035140401613649955,7
id-africa-coast-to-europe-ace,0.003441788489149242,7
id-alaska-united-east-au-east,0.003437346913791649,7
id-west-africa-cable-system-wacs,0.0034288797501176274,7
id-tata-tgn-gulf,0.0033846886213309522,7
id-candalta,0.003318913801642362,7
id-png-lng,0.0033179528838967296,7
id-tasman-ring-network,0.003212732390749899,7
id-sydney-melbourne-adelaide-perth-smap,0.003164044610414158,7
id-bahamas-2,0.0031207725624928053,7
id-taiwan-penghu-kinmen-matsu-no-2-tpkm2,0.003113565679400557,7
id-cantat-3,0.003101662310826526,7
id-safe,0.0030136542567983492,7
id-jonah,0.002996381760320593,7
id-celtixconnect-1-cc-1,0.0029905682079595123,7
id-t3,0.0029615965379286725,7
id-pasuli,0.0029256678234194484,7
id-djibouti-africa-regional-express-1-dare-1,0.002898536310871496,7
id-prat,0.0028887629766336195,7
id-coral-sea-cable-system-cs,0.0028417476736341536,7
id-sape-labuan-bajo-ende-kupang,0.002816094372884899,7
id-saudi-arabia-sudan-1-sas-1,0.002805567518981489,7
id-saudi-arabia-sudan-2-sas-2,0.002805567518981489,7
id-fly-lion3,0.0027204061837747505,7
id-ogasawara-cable-network,0.0027187405930156525,7
id-colombian-festoon,0.0026404578273380714,7
id-tampnet-south,0.0026202064858488524,7
id-guernsey-jersey-4,0.002619461774595987,7
id-arcos,0.0026139725319740577,7
id-australia-connect-interlink,0.002571588852508543,7
id-ceiba-2,0.002563696514757741,7
id-smpcs-packet-2,0.0025386747990358465,7
id-nome-to-homer-express-nthe,0.002536180406321598,7
id-fibralink,0.002517739022043261,7
id-fish-south,0.002497290692416188,7
id-seychelles-to-east-africa-system-seas,0.00241987915882798,7
id-italy-albania,0.002412191816862915,7
id-manatua,0.0023384894257728523,7
id-pldt-domestic-fiber-optic-network-dfon,0.002326789882636021,7
id-bahamas-internet-cable-system-bics,0.002307335099719788,6
id-hainan-to-hong-kong-express-h2he,0.002262576923867832,6
id-oman-australia-cable-oac,0.002244031211377112,6
id-no-uk,0.002222458607987648,6
id-ugarit,0.002217774133977686,6
id-equiano,0.0022162446732325535,6
id-alonso-de-ojeda,0.002181451443192753,6
id-eastern-caribbean-fiber-system-ecfs,0.002177010894456683,6
id-nationwide-submarine-cable-ooredoo-maldives-nascom,0.0021768150150700727,6
id-maroc-telecom-west-africa,0.002170609087962859,6
id-biznet-nusantara-cable-system-1-bncs-1,0.0021333911421449105,6
id-polar-circle-cable,0.00212862499012657,6
id-hawaii-island-fibre-network-hifn,0.002104698138260305,6
id-amerigo-vespucci,0.00208747368766983,6
id-jerry-newton,0.00208747368766983,6
id-ceiba-1,0.002077672326664371,6
id-suriname-guyana-submarine-cable-system-sg-scs,0.002054153864840001,6
id-izu-islands-cable-system,0.002039920270732809,6
id-bosun,0.001958427239020025,6
id-oran-valencia-orval,0.0019392761483495566,6
id-link-3-phase-2,0.0018989015877372035,6
