cable_key,risk_score,max_lp_risk,landing_points,risk_tier,importance_score,importance_tier,base_cost,baseline_material,baseline_reliability_tier,baseline_failure_factor,baseline_expected_cost,importance_material,importance_reliability_tier,importance_failure_factor,importance_expected_cost,sensitivity_material,sensitivity_reliability_tier,sensitivity_failure_factor,sensitivity_expected_cost,combined_material,combined_reliability_tier,combined_failure_factor,combined_expected_cost
id-bifrost,86.34423389489184,36.65033893024727,8,10,0.0144890841185472,10,8000000,Stainless_steel,6,0.5,4000000.0,CFRP,10,0.1,800000.0,CFRP,10,0.1,800000.0,CFRP,10,0.1,800000.0
id-antillas-1,82.19326516376873,50.79392366990503,3,10,0.0011264358273184,5,3000000,Stainless_steel,6,0.5,1500000.0,Nickel_superalloys,8,0.3,900000.0,Nickel_superalloys,8,0.3,900000.0,CFRP,10,0.1,300000.0
id-americas-ii,81.86954648455234,36.775456249459104,9,10,0.0121862787736409,9,9000000,Stainless_steel,6,0.5,4500000.0,CFRP,10,0.1,900000.0,CFRP,10,0.1,900000.0,CFRP,10,0.1,900000.0
id-mataram-kupang-cable-system-mkcs,81.34375012467933,47.19558542545573,7,10,0.0018597931506496,6,7000000,Stainless_steel,6,0.5,3500000.0,Nickel_superalloys,8,0.3,2100000.0,Nickel_superalloys,8,0.3,2100000.0,CFRP,10,0.1,700000.0
id-seamewe-5,80.73914941281932,27.63561423363544,18,10,0.0054249887214948,8,18000000,Stainless_steel,6,0.5,9000000.0,Titanium_alloys,9,0.2,3600000.0,Titanium_alloys,9,0.2,3600000.0,CFRP,10,0.1,1800000.0
id-indonesia-global-gateway-igg-system,79.90531672713757,36.65033893024727,10,10,0.0108348482201593,9,10000000,Stainless_steel,6,0.5,5000000.0,CFRP,10,0.1,1000000.0,CFRP,10,0.1,1000000.0,CFRP,10,0.1,1000000.0
id-seamewe-6,79.54530697997886,27.63561423363544,17,10,0.0074682018469449,8,17000000,Stainless_steel,6,0.5,8500000.0,Titanium_alloys,9,0.2,3400000.0,Titanium_alloys,9,0.2,3400000.0,CFRP,10,0.1,1700000.0
id-eastern-caribbean-fiber-system-ecfs,78.82138052051351,29.48631332428636,13,10,0.0021770108944566,6,13000000,Stainless_steel,6,0.5,6500000.0,Nickel_superalloys,8,0.3,3900000.0,Nickel_superalloys,8,0.3,3900000.0,CFRP,10,0.1,1300000.0
id-hawaiki-nui-1,78.71011265503601,36.65033893024727,9,10,0.0078031015905089,9,9000000,Stainless_steel,6,0.5,4500000.0,CFRP,10,0.1,900000.0,CFRP,10,0.1,900000.0,CFRP,10,0.1,900000.0
id-falcon,78.50511253634262,30.90981727420907,19,10,0.0017342643473187,6,19000000,Stainless_steel,6,0.5,9500000.0,Nickel_superalloys,8,0.3,5700000.0,Nickel_superalloys,8,0.3,5700000.0,CFRP,10,0.1,1900000.0
